NAME,DESCRIPTION,CATEGORY,IMAGE,IS FEATURED,CREATED AT,UPDATED AT,ATTRIBUTES
Aciclovir Cream 5% cream,None,BodyCare,media/products/medicated/Bodycare/Aciclovir Cream 5% cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
"aloevera, glycerin vitamin -e soap",None,BodyCare,"media/products/medicated/Bodycare/aloevera, glycerin vitamin -e soap.webp",True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Amorolfine Hydrochloride IP 0.25% Cream,None,BodyCare,media/products/medicated/Bodycare/Amorolfine Hydrochloride IP 0.25% Cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Beclomethasone Dipropionate IP 0.025% Clotrimazole IP 1% Lotion,None,BodyCare,media/products/medicated/Bodycare/Beclomethasone Dipropionate IP 0.025% Clotrimazole IP 1% Lotion.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Beclomethasone Dipropionate IP 0.025% Clotrimazole IP 1% Neomycin Sulphate IP 0.5% Cream,None,BodyCare,media/products/medicated/Bodycare/Beclomethasone Dipropionate IP 0.025% Clotrimazole IP 1% Neomycin Sulphate IP 0.5% Cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Bifonazole IP 1% Cream,None,BodyCare,media/products/medicated/Bodycare/Bifonazole IP 1% Cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Calcium Dobesilate Monohydrate IP 0.25% Lignocain Hydrochloride IP 3.0% Hydrocortisone Acetate IP 0.25% Zinc Oxide IP 5%Cream,None,BodyCare,media/products/medicated/Bodycare/Calcium Dobesilate Monohydrate IP 0.25% Lignocain Hydrochloride IP 3.0% Hydrocortisone Acetate IP 0.25% Zinc Oxide IP 5%Cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Ciclopirox Olamine USP 1% Cream,None,BodyCare,media/products/medicated/Bodycare/Ciclopirox Olamine USP 1% Cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Clobetasol Propionate I.P. 0.05% wv  Salicylic Acid I.P. 3.00% wv  Lotion Base Q.S. Lotion,None,BodyCare,media/products/medicated/Bodycare/Clobetasol Propionate I.P. 0.05% wv  Salicylic Acid I.P. 3.00% wv  Lotion Base Q.S. Lotion.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Clobetasol Propionate IP 0.05% Neomycin Sulphate IP 0.5% Miconazole Nitrate IP 2% Chlorocresol IP 0.1% (Preservative) Cream,None,BodyCare,media/products/medicated/Bodycare/Clobetasol Propionate IP 0.05% Neomycin Sulphate IP 0.5% Miconazole Nitrate IP 2% Chlorocresol IP 0.1% (Preservative) Cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Clobetasol Propionate IP 0.05% Salicylic Acid IP 3% Ointment,None,BodyCare,media/products/medicated/Bodycare/Clobetasol Propionate IP 0.05% Salicylic Acid IP 3% Ointment.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Clotrimazole 1% Powder,None,BodyCare,media/products/medicated/Bodycare/Clotrimazole 1% Powder.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Clotrimazole 1% Soap,None,BodyCare,media/products/medicated/Bodycare/Clotrimazole 1% Soap.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Desonide 0.05% Cream,None,BodyCare,media/products/medicated/Bodycare/Desonide 0.05% Cream.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Desonide 0.05% lotion,None,BodyCare,media/products/medicated/Bodycare/Desonide 0.05% lotion.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Diclofenac Diethyl Amine IP 1.16% Linseed Oil BP 3% Methyl Salicylate IP 10% Capsaicin USP 0.025% Menthol IP 5% Benzyl Alcohol IP 1%,None,BodyCare,media/products/medicated/Bodycare/Diclofenac Diethyl Amine IP 1.16% Linseed Oil BP 3% Methyl Salicylate IP 10% Capsaicin USP 0.025% Menthol IP 5% Benzyl Alcohol IP 1%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
Diclofenac Diethyl Amine IP 1.16% Linseed Oil BP 3% Methyl Salicylate IP 10% Menthol IP 5% Benzyl Alcohol IP 1%,None,BodyCare,media/products/medicated/Bodycare/Diclofenac Diethyl Amine IP 1.16% Linseed Oil BP 3% Methyl Salicylate IP 10% Menthol IP 5% Benzyl Alcohol IP 1%.webp,True,2025-06-18 23:05:29,2025-06-18 23:05:29,
